id,bridge_no,bridge_name,route_name,route_grade,bridge_type,structure_type,span_combination,total_length,total_width,clear_span,design_load,anti_seismic,design_unit,construct_unit,supervise_unit,complete_date,open_date,manage_unit,maintain_unit,check_level,tech_status,maintenance_length,longitude,latitude,photo_front,photo_left,photo_right,remark
25,CQ025,白居寺长江大桥,巴滨路,城市主干路,斜拉桥,双塔双索面斜拉桥,660,1384.00,35.00,653.40,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2022-01-24,2022-01-24,巴南区建委,巴南区市政局,Ⅰ,1,1384.00,106.5200,29.4200,,,,水滴形桥塔，网红打卡桥
26,CQ026,牛角沱嘉陵江大桥,渝中区上清寺,城市主干路,梁式桥,双悬臂带吊孔钢桁梁桥,88,600.56,21.50,87.12,公路-Ⅱ级,6度,铁道部大桥工程局,重庆市桥梁工程公司,铁道部监理公司,1966-01-20,1966-01-20,重庆市城投公司,重庆路桥股份有限公司,Ⅰ,1,600.56,106.5500,29.5650,,,,重庆中心城区第一座跨江大桥
27,CQ027,渝澳嘉陵江大桥,渝中区上清寺,城市主干路,梁式桥,预应力混凝土连续刚构,1370,1370.00,24.00,1356.30,城-A级,6度,重庆市设计院,重庆桥梁工程总公司,重庆交通工程监理公司,2002-01-11,2002-01-11,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,1370.00,106.5520,29.5670,,,,重庆与澳门友谊之桥
28,CQ028,嘉华嘉陵江大桥,渝中区华村,城市快速路,梁式桥,预应力混凝土连续刚构,252,528.00,35.60,249.48,城-A级,6度,重庆市市政设计研究院,重庆桥梁工程总公司,重庆赛迪工程咨询公司,2007-06-16,2007-06-16,重庆市建委,重庆市市政设施管理局,Ⅰ,1,4350.00,106.5200,29.5500,,,,全长4.35公里含立交隧道
29,CQ029,石门嘉陵江大桥,沙坪坝区中渡口,城市主干路,斜拉桥,独塔单索面预应力混凝土斜拉桥,200+300,1096.50,25.50,495.00,公路-Ⅰ级,6度,上海市政工程设计院,四川省重庆市桥梁工程公司,重庆交通工程监理公司,1988-12-25,1988-12-25,重庆路桥股份有限公司,重庆路桥股份有限公司,Ⅰ,1,1096.50,106.4800,29.5700,,,,当时国内同类桥梁跨径最大
30,CQ030,高家花园嘉陵江大桥,沙坪坝区高家花园,城市快速路,斜拉桥,双塔双索面斜拉桥,240,1000.00,25.50,237.60,公路-Ⅰ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,1998-12-01,1998-12-01,重庆高速集团,重庆高速养护公司,Ⅰ,1,1000.00,106.4500,29.5900,,,,内环快速路跨嘉陵江通道
31,CQ031,高家花园复线桥,沙坪坝区高家花园,城市快速路,斜拉桥,双塔双索面斜拉桥,240,1000.00,33.50,237.60,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2017-12-31,2017-12-31,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,1000.00,106.4510,29.5910,,,,缓解高家花园大桥交通压力
32,CQ032,双碑嘉陵江大桥,沙坪坝区双碑,城市快速路,斜拉桥,双塔单索面混凝土箱梁斜拉桥,330,1928.00,33.50,326.70,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2015-02-13,2015-02-13,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,1928.00,106.4400,29.6100,,,,双碑片区跨嘉陵江通道
33,CQ033,马鞍石嘉陵江大桥,渝北区礼嘉,高速公路,梁式桥,预应力混凝土T型刚构,200,1006.00,25.50,198.00,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2001-12-26,2001-12-26,重庆高速集团,重庆高速养护公司,Ⅰ,1,1006.00,106.5300,29.6800,,,,渝合高速跨嘉陵江通道
34,CQ034,蔡家嘉陵江大桥,北碚区蔡家,城市主干路,斜拉桥,双塔双索面斜拉桥,320,1420.00,37.00,316.80,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2021-09-29,2021-09-29,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,1420.00,106.5100,29.7300,,,,蔡家组团跨嘉陵江通道
35,CQ035,礼嘉嘉陵江大桥,渝北区礼嘉,城市快速路,组合体系桥,梁拱组合刚构桥,245,785.00,35.00,242.55,城-A级,6度,林同棪国际工程咨询,中建五局,重庆赛迪工程咨询公司,2021-09-29,2021-09-29,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,785.00,106.5000,29.7000,,,,全国首座大跨径梁拱组合体系桥
36,CQ036,水土嘉陵江大桥,北碚区水土,城市主干路,斜拉桥,双塔双索面斜拉桥,310,966.00,35.00,306.90,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2021-09-29,2021-09-29,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,966.00,106.5500,29.7800,,,,水土组团跨嘉陵江通道
37,CQ037,嘉悦嘉陵江大桥,北碚区蔡家,高速公路,斜拉桥,双塔双索面斜拉桥,250,768.00,33.50,247.50,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2010-12-31,2010-12-31,重庆高速集团,重庆高速养护公司,Ⅰ,1,768.00,106.5600,29.7500,,,,嘉悦大道跨嘉陵江通道
38,CQ038,千厮门嘉陵江大桥,渝中区解放碑,城市主干路,斜拉桥,双塔单索面斜拉桥,312,881.00,24.00,308.88,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2015-04-29,2015-04-29,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,881.00,106.5800,29.5700,,,,公轨两用桥，洪崖洞旁网红桥
39,CQ039,黄花园嘉陵江大桥,渝中区黄花园,城市主干路,梁式桥,预应力混凝土连续刚构,250,1208.00,31.00,247.50,城-A级,6度,重庆市市政设计研究院,重庆桥梁工程总公司,重庆赛迪工程咨询公司,1999-12-26,1999-12-26,重庆市建委,重庆市市政设施管理局,Ⅰ,1,1208.00,106.5700,29.5650,,,,重庆直辖后主城首座大桥
40,CQ040,曾家岩嘉陵江大桥,渝中区曾家岩,城市主干路,梁式桥,预应力混凝土连续刚构,270,547.00,31.00,267.30,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2020-12-31,2020-12-31,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,547.00,106.5500,29.5700,,,,公轨两用桥
41,CQ041,红岩村嘉陵江大桥,渝中区红岩村,城市主干路,梁式桥,预应力混凝土连续刚构,375,720.00,31.00,371.25,城-A级,6度,重庆市市政设计研究院,中交第二航务工程局,重庆赛迪工程咨询公司,2023-10-01,2023-10-01,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,720.00,106.5100,29.5600,,,,红岩村大桥公轨两用
42,CQ042,井口嘉陵江大桥,沙坪坝区井口,铁路专用,梁式桥,预应力混凝土连续梁桥,200,1100.00,12.00,198.00,中-活载,6度,中铁二院工程集团,中铁大桥局集团,铁道部监理公司,2005-12-31,2005-12-31,成都铁路局,成都铁路局重庆工务段,Ⅰ,1,1100.00,106.4200,29.6400,,,,渝怀铁路跨嘉陵江通道
43,CQ043,东阳嘉陵江大桥,北碚区东阳,城市主干路,梁式桥,预应力混凝土T型刚构,200,1100.00,25.50,198.00,公路-Ⅰ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,2003-12-31,2003-12-31,北碚区交通局,北碚区公路局,Ⅱ,1,1100.00,106.4200,29.8300,,,,北碚区跨嘉陵江通道
44,CQ044,北碚嘉陵江大桥,北碚区城区,二级公路,拱桥,钢筋混凝土拱桥,80,380.00,12.00,79.20,公路-Ⅱ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,1971-06-01,1971-06-01,北碚区交通局,北碚区公路局,Ⅱ,1,380.00,106.4000,29.8000,,,,北碚老城区跨嘉陵江通道
45,CQ045,朝阳嘉陵江大桥,北碚区朝阳,三级公路,拱桥,石拱桥,50,240.00,8.50,49.50,公路-Ⅱ级,6度,区县公路设计室,地方路桥公司,区县交通监理站,1969-05-01,1969-05-01,北碚区交通局,北碚区公路局,Ⅲ,1,240.00,106.3900,29.8200,,,,北碚区早期跨江桥梁
46,CQ046,涪陵长江大桥,涪陵区滨江路,二级公路,斜拉桥,双塔双索面斜拉桥,450,2332.00,25.50,445.50,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,1997-06-01,1997-06-01,涪陵区交通局,涪陵区公路局,Ⅰ,1,2332.00,107.4000,29.7000,,,,涪陵区跨长江通道
47,CQ047,万州长江大桥,万州区城区,二级公路,拱桥,钢筋混凝土箱形拱桥,420,856.00,23.00,415.80,公路-Ⅱ级,6度,四川省交通规划设计院,四川路桥集团,四川交通监理公司,1997-05-01,1997-05-01,万州区交通局,万州区公路局,Ⅰ,1,856.00,108.4000,30.8000,,,,万州区跨长江通道
48,CQ048,奉节长江大桥,奉节县城区,二级公路,斜拉桥,双塔双索面斜拉桥,460,1206.00,24.00,455.40,公路-Ⅱ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2006-01-01,2006-01-01,奉节县交通局,奉节县公路局,Ⅰ,1,1206.00,109.4500,31.0200,,,,奉节县跨长江通道
49,CQ049,巫山长江大桥,巫山县城区,二级公路,拱桥,钢管混凝土拱桥,460,612.00,20.00,455.40,公路-Ⅱ级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2005-01-08,2005-01-08,巫山县交通局,巫山县公路局,Ⅰ,1,612.00,109.8500,31.0800,,,,当时世界最大跨径钢管混凝土拱桥
50,CQ050,黔江武陵山大桥,黔江区城区,二级公路,斜拉桥,双塔双索面斜拉桥,280,832.00,22.00,277.20,公路-Ⅱ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,2014-12-31,2014-12-31,黔江区交通局,黔江区公路局,Ⅱ,1,832.00,108.7500,29.5200,,,,黔江区跨阿蓬江通道
